Year,Value,Longitude,Latitude,archiveType,ID,VariableName,Depth,Thickness
2005.042,0.06,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
2005.208,0.06,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
2005.374,-0.01,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2005.54,-0.08,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2005.706,-0.09,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2005.872,-0.06,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
2006.042,-0.04,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
2006.208,-0.03,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
2006.374,-0.01,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2006.54,0.05,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2006.706,-0.02,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2006.872,-0.23,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
2007.042,-0.16,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
2007.208,-0.03,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
2007.374,0.12,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2007.54,0.0,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2007.706,0.06,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2007.872,0.21,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
2008.042,0.12,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
2008.208,0.07,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
2008.374,0.06,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2008.54,0.07,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2008.706,0.08,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2008.872,0.13,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
2009.042,0.19,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16999999999984539
2009.208,0.2,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16600000000016735
2009.374,0.17,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2009.54,0.16,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
2009.706,0.19,172.8,3.2,coral,CA14BUT01,d18O_sw,,0.16599999999993997
