 801007   281.50  1367.1236
 801008   282.50  1367.0844
 801009   283.50  1366.6158
 801010   284.50  1366.3170
 801011   285.50  1365.7285
 801012   286.50  1365.5894
 801013   287.50  1365.5802
 801014   288.50  1365.6808
 801015   289.50  1366.4606
 801016   290.50  1366.9807
 801017   291.50  1367.2811
 801018   292.50  1367.1820
 801019   293.50  1366.7632
 801020   294.50  1366.3146
 801021   295.50  1366.0956
 801022   296.50  1365.7569
 801023   297.50  1365.8076
 801024   298.50  1366.0680
 801025   299.50  1366.5681
 801026   300.50  1366.5789
 801027   301.50  1366.7794
 801028   302.50  1366.8301
 801029   303.50  1366.7810
 801030   304.50  1366.8416
 801031   305.50  1366.4828
 801101   306.50  1366.5136
 801102   307.50  1366.4045
 801103   308.50  1366.0457
 801104   309.50  1365.7069
 801105   310.50  1365.4480
 801106   311.50  1365.2191
 801107   312.50  1365.1099
 801108   313.50  1364.9110
 801109   314.50  1364.9916
 801110   315.50  1365.1123
 801111   316.50  1365.1230
 801112   317.50   -99.0000
 801113   318.50  1365.6206
 801114   319.50  1366.0891
 801115   320.50  1366.4679
 801116   321.50   -99.0000
 801117   322.50  1366.8952
 801118   323.50  1366.6757
 801119   324.50  1366.6455
 801120   325.50   -99.0000
 801121   326.50  1366.6247
 801122   327.50  1366.8234
 801123   328.50  1367.0022
 801124   329.50   -99.0000
 801125   330.50  1367.1108
 801126   331.50  1367.1303
 801127   332.50  1367.3688
 801128   333.50   -99.0000
 801129   334.50  1366.6809
 801130   335.50  1366.4913
 801201   336.50  1366.5904
 801202   337.50   -99.0000
 801203   338.50  1366.7886
 801204   339.50  1366.8778
 801205   340.50  1367.0765
 801206   341.50   -99.0000
 801207   342.50  1367.4839
 801208   343.50  1367.6428
 801209   344.50  1367.5227
 801210   345.50   -99.0000
 801211   346.50  1366.9642
 801212   347.50  1366.5554
 801213   348.50  1366.5349
 801214   349.50   -99.0000
 801215   350.50  1366.0062
 801216   351.50  1365.8463
 801217   352.50  1366.1645
 801218   353.50   -99.0000
